gini_final,mean_wealth_final,total_wealth_final,alive_final,upper_frac_final,lower_frac_final,stability_final,regime_final,coop_share_final,comp_share_final,neutral_share_final,dominant_strategy_final,strategy_entropy_final,gini_mean,gini_std,gini_max,gini_min,gini_trend,n_collapses,total_collapse_steps,mean_collapse_duration,frac_collapsed,strategic_volatility,condition,rep,seed,actual_steps
0.19637767719399382,521.1284128373169,15633.852385119508,30,0.06666666666666667,0.03333333333333333,0.001,collapsed,0.16666666666666666,0.5333333333333333,0.3,competitive,1.435591746027931,0.29296926258444267,0.07092404980283534,0.5421003362436647,0.19594237703502274,-0.00013810672107243427,1,1417,1417.0,0.9446666666666667,0.00733822548365577,baseline,0,47177,1500
0.3516664003514035,720.506119272754,42509.86103709248,59,0.1694915254237288,0.1694915254237288,0.001,collapsed,0.1864406779661017,0.5084745762711864,0.3050847457627119,competitive,1.47045464768002,0.4273113416022197,0.05126686001620287,0.535162833780626,0.35016781724051577,-0.00010886432060337891,1,1419,1419.0,0.946,0.01000667111407605,baseline,1,47178,1500
0.28430373387837143,540.3185003616907,34580.3840231482,64,0.140625,0.21875,0.001,collapsed,0.21875,0.484375,0.296875,competitive,1.506348792402692,0.3124042743567228,0.051924543979665456,0.5162455901283601,0.2785112784548643,-8.291601342398568e-05,1,1415,1415.0,0.9433333333333334,0.00133422281521014,baseline,2,47179,1500
0.27331998830624793,628.2678255742366,23874.177371820988,38,0.18421052631578946,0.21052631578947367,0.001,collapsed,0.3157894736842105,0.42105263157894735,0.2631578947368421,competitive,1.5574319619297041,0.3565802797917242,0.07235888873345649,0.6060206790350201,0.27273491542958556,-0.00015165958507035545,1,1414,1414.0,0.9426666666666667,0.00533689126084056,baseline,3,47180,1500
0.1700220808353957,801.3897327462897,22438.91251689611,28,0.0,0.07142857142857142,0.001,collapsed,0.25,0.42857142857142855,0.32142857142857145,competitive,1.5501992264848214,0.25804401718185155,0.0837778108236434,0.5245052984577135,0.16652635938358193,-0.0001756287182534582,1,1415,1415.0,0.9433333333333334,0.012675116744496331,baseline,4,47181,1500
0.24862795351504843,757.6692988821326,18941.732472053314,25,0.16,0.16,0.001,collapsed,0.2,0.44,0.36,competitive,1.516147658077609,0.2847977065066845,0.07109396043913793,0.5260956684057236,0.20614485800651686,-0.00011909344114917595,1,1411,1411.0,0.9406666666666667,0.02134756504336224,baseline,5,47182,1500
0.19186611739352474,589.8592868181959,34211.83863545536,58,0.10344827586206896,0.034482758620689655,0.001,collapsed,0.29310344827586204,0.3275862068965517,0.3793103448275862,neutral,1.576860535356806,0.26348369429317836,0.07382024028858634,0.47374559396280447,0.19186611739352474,-0.00014618289873389318,1,1408,1408.0,0.9386666666666666,0.004002668445630421,baseline,6,47183,1500
0.32879606118640603,807.5702244135812,36340.66009861115,45,0.13333333333333333,0.2,0.001,collapsed,0.17777777777777778,0.6,0.2222222222222222,competitive,1.3673810183899575,0.34863754702852384,0.042685469366028725,0.5022890040643233,0.303903364518217,-5.746667941148309e-05,1,1412,1412.0,0.9413333333333334,0.008005336891260841,baseline,7,47184,1500
0.13709212303933804,705.9267274130815,31766.702733588667,45,0.06666666666666667,0.0,0.001,collapsed,0.15555555555555556,0.4888888888888889,0.35555555555555557,competitive,1.4527646504535907,0.21710439399659257,0.09906119785864863,0.5164358745098774,0.13377298718503258,-0.00019019199157405586,1,1414,1414.0,0.9426666666666667,0.00533689126084056,baseline,8,47185,1500
0.1983237594397456,670.3885620285008,28826.708167225534,43,0.046511627906976744,0.09302325581395349,0.001,collapsed,0.23255813953488372,0.5116279069767442,0.2558139534883721,competitive,1.487182792750832,0.27134410529725694,0.09271653776929555,0.5691495051448264,0.1891750515433951,-0.00018965745255564604,1,1418,1418.0,0.9453333333333334,0.00533689126084056,baseline,9,47186,1500
